"","V1","V2","V3","V4"
"1","Data element","Feeding type","Mean","Median"
"2","log predator mass","insectivorous","-0.19768531886863","-0.155625491649087"
"3","log predator mass","piscivorous","7.71223438647515","7.97246601597457"
"4","log predator mass","planktivorous","-2.8444155291803","-3.83506196429202"
"5","log predator mass","predacious","4.77986971956941","6.4118182677099"
"6","log predator mass","predacious/piscivorous","6.06403752213459","6.38012253689976"
"7","log prey mass","insectivorous","-2.97649490953736","-3.11903048989848"
"8","log prey mass","piscivorous","1.63552827510992","1.81807677754543"
"9","log prey mass","planktivorous","-12.2973266641226","-13.9524764130374"
"10","log prey mass","predacious","-3.3992920045753","-1.52326021619305"
"11","log prey mass","predacious/piscivorous","2.41088614444964","2.61006979274201"
"12","log predator-prey size ratio","insectivorous","-2.77880959066873","-2.6155823718929"
"13","log predator-prey size ratio","piscivorous","-6.07670611136523","-5.61677109766657"
"14","log predator-prey size ratio","planktivorous","-9.45291113494234","-9.82552601106642"
"15","log predator-prey size ratio","predacious","-8.1791617241447","-8.29090937545023"
"16","log predator-prey size ratio","predacious/piscivorous","-3.65315137768494","-3.71028336277709"
